Time,Deslocamento,Força,Tensão à tração,Deformação à tração (Deslocamento),Strain Gauge 1/Axial Strain Ɛyy,Strain Gauge 1/Transverse Strain Ɛxx,Strain Gauge 1/Shear Strain Ɛxy,Strain Gauge 1/Minimum Normal Strain,Strain Gauge 1/Maximum Normal Strain,Strain Gauge 1/Poisson's Ratio -Ɛxx/Ɛyy,Strain Gauge 1/Axial Displacement dy,Strain Gauge 1/Transverse Displacement dx
ms,mm,kN,MPa,%,%,%,%,%,%,,mm,mm
0.00000,0.00000,0.02160,1.09858,0.00000,0.00009,-0.00138,-0.00007,-0.00139,0.00009,0.00000,-0.00105,-0.00125
20.00000,0.00001,0.02179,1.10837,0.00001,0.00056,-0.00238,-0.00012,-0.00238,0.00056,0.00000,-0.00051,0.00010
40.00000,0.00015,0.02253,1.14634,0.00009,0.00132,-0.00164,-0.00009,-0.00164,0.00132,0.00000,0.00244,0.00480
60.00000,0.00061,0.02609,1.32732,0.00035,0.00170,-0.00171,-0.00010,-0.00172,0.00170,0.00000,0.00272,0.00461
80.00000,0.00123,0.03264,1.66066,0.00070,0.00207,-0.00178,-0.00011,-0.00179,0.00208,0.00000,0.00300,0.00443
100.00000,0.00188,0.04108,2.08964,0.00107,0.00245,-0.00186,-0.00013,-0.00186,0.00245,0.00000,0.00328,0.00425
120.00000,0.00255,0.05041,2.56432,0.00146,0.00283,-0.00193,-0.00014,-0.00193,0.00283,0.00000,0.00355,0.00406
140.00000,0.00324,0.05968,3.03608,0.00185,0.00320,-0.00200,-0.00015,-0.00200,0.00321,0.00000,0.00383,0.00388
160.00000,0.00394,0.06893,3.50665,0.00225,0.00358,-0.00207,-0.00016,-0.00208,0.00359,0.00000,0.00411,0.00369
180.00000,0.00463,0.07792,3.96380,0.00265,0.00396,-0.00214,-0.00017,-0.00215,0.00396,0.00000,0.00439,0.00351
200.00000,0.00530,0.08678,4.41447,0.00303,0.00434,-0.00222,-0.00018,-0.00222,0.00434,0.00000,0.00467,0.00333
220.00000,0.00592,0.09491,4.82830,0.00338,0.00471,-0.00229,-0.00019,-0.00229,0.00472,0.00000,0.00495,0.00314
240.00000,0.00653,0.10268,5.22347,0.00373,0.00509,-0.00236,-0.00020,-0.00237,0.00510,0.00000,0.00522,0.00296
260.00000,0.00716,0.11066,5.62935,0.00409,0.00547,-0.00243,-0.00021,-0.00244,0.00547,0.00000,0.00550,0.00277
280.00000,0.00783,0.11903,6.05504,0.00447,0.00584,-0.00250,-0.00022,-0.00251,0.00585,0.00000,0.00578,0.00259
300.00000,0.00855,0.12839,6.53102,0.00488,0.00622,-0.00258,-0.00024,-0.00258,0.00623,0.00000,0.00606,0.00241
320.00000,0.00927,0.13786,7.01320,0.00530,0.00660,-0.00265,-0.00025,-0.00266,0.00660,0.00000,0.00634,0.00222
340.00000,0.00996,0.14653,7.45404,0.00569,0.00697,-0.00272,-0.00026,-0.00273,0.00698,0.00000,0.00661,0.00204
360.00000,0.01059,0.15455,7.86225,0.00605,0.00735,-0.00279,-0.00027,-0.00280,0.00736,0.00000,0.00689,0.00185
380.00000,0.01121,0.16228,8.25537,0.00641,0.00773,-0.00286,-0.00028,-0.00287,0.00774,0.00000,0.00717,0.00167
400.00000,0.01184,0.17028,8.66209,0.00677,0.00811,-0.00294,-0.00029,-0.00294,0.00811,0.00000,0.00745,0.00149
420.00000,0.01251,0.17869,9.08980,0.00715,0.00848,-0.00301,-0.00030,-0.00302,0.00849,0.00000,0.00773,0.00130
440.00000,0.01322,0.18784,9.55563,0.00756,0.00886,-0.00308,-0.00031,-0.00309,0.00887,0.00000,0.00801,0.00112
