Tempo;Deslocamento;Força;Tensão à tração;Deformação à tração (Deslocamento);Extens Bi Axial - Connector 6;Extens Bi Trans - Conector 5
(s);(mm);(kN);(MPa);(%);(%);(%)
"0,0000";"0,0000";"0,0009";"0,0223";"0,0000";"0,0002";"0,0035"
"0,0200";"0,0000";"0,0008";"0,0206";"0,0000";"0,0002";"0,0036"
"0,0400";"0,0006";"0,0018";"0,0448";"0,0006";"0,0005";"0,0038"
"0,0600";"0,0021";"0,0044";"0,1067";"0,0021";"0,0018";"0,0044"
"0,0800";"0,0038";"0,0075";"0,1849";"0,0038";"0,0033";"0,0050"
"0,1000";"0,0055";"0,0108";"0,2655";"0,0055";"0,0049";"0,0057"
"0,1200";"0,0072";"0,0139";"0,3419";"0,0072";"0,0064";"0,0065"
"0,1400";"0,0088";"0,0170";"0,4157";"0,0088";"0,0079";"0,0071"
"0,1600";"0,0105";"0,0198";"0,4853";"0,0105";"0,0093";"0,0078"
"0,1800";"0,0121";"0,0227";"0,5555";"0,0121";"0,0108";"0,0085"
"0,2000";"0,0137";"0,0256";"0,6281";"0,0137";"0,0123";"0,0092"
"0,2200";"0,0153";"0,0287";"0,7045";"0,0153";"0,0137";"0,0098"
"0,2400";"0,0171";"0,0317";"0,7763";"0,0171";"0,0153";"0,0106"
"0,2600";"0,0187";"0,0346";"0,8475";"0,0187";"0,0167";"0,0113"
"0,2800";"0,0204";"0,0374";"0,9173";"0,0204";"0,0182";"0,0119"
"0,3000";"0,0221";"0,0403";"0,9872";"0,0221";"0,0197";"0,0126"
"0,3200";"0,0237";"0,0433";"1,0612";"0,0237";"0,0212";"0,0133"
"0,3400";"0,0254";"0,0465";"1,1396";"0,0254";"0,0227";"0,0140"
"0,3600";"0,0271";"0,0496";"1,2152";"0,0271";"0,0243";"0,0146"
"0,3800";"0,0287";"0,0522";"1,2801";"0,0287";"0,0257";"0,0153"
"0,4000";"0,0304";"0,0551";"1,3505";"0,0304";"0,0272";"0,0160"
"0,4200";"0,0320";"0,0580";"1,4228";"0,0320";"0,0287";"0,0167"
"0,4400";"0,0336";"0,0609";"1,4935";"0,0336";"0,0301";"0,0174"
"0,4600";"0,0354";"0,0641";"1,5723";"0,0354";"0,0317";"0,0181"
"0,4800";"0,0371";"0,0670";"1,6439";"0,0371";"0,0332";"0,0188"
"0,5000";"0,0387";"0,0697";"1,7090";"0,0387";"0,0346";"0,0195"
"0,5200";"0,0404";"0,0725";"1,7786";"0,0404";"0,0362";"0,0201"
"0,5400";"0,0421";"0,0754";"1,8489";"0,0421";"0,0377";"0,0208"
"0,5600";"0,0437";"0,0783";"1,9186";"0,0437";"0,0391";"0,0215"
"0,5800";"0,0454";"0,0814";"1,9964";"0,0454";"0,0407";"0,0223"
"0,6000";"0,0472";"0,0843";"2,0681";"0,0472";"0,0422";"0,0229"
"0,6200";"0,0488";"0,0872";"2,1368";"0,0488";"0,0436";"0,0236"
"0,6400";"0,0505";"0,0901";"2,2089";"0,0505";"0,0451";"0,0243"
"0,6600";"0,0521";"0,0929";"2,2773";"0,0521";"0,0466";"0,0250"
"0,6800";"0,0538";"0,0957";"2,3457";"0,0538";"0,0481";"0,0257"
"0,7000";"0,0555";"0,0988";"2,4214";"0,0555";"0,0497";"0,0264"
"0,7200";"0,0572";"0,1015";"2,4898";"0,0572";"0,0511";"0,0271"
"0,7400";"0,0588";"0,1043";"2,5568";"0,0588";"0,0526";"0,0277"
"0,7600";"0,0604";"0,1069";"2,6223";"0,0604";"0,0541";"0,0284"
"0,7800";"0,0620";"0,1097";"2,6905";"0,0620";"0,0555";"0,0291"
"0,8000";"0,0637";"0,1127";"2,7623";"0,0637";"0,0569";"0,0298"
"0,8200";"0,0654";"0,1156";"2,8341";"0,0654";"0,0585";"0,0305"
"0,8400";"0,0670";"0,1182";"2,8991";"0,0670";"0,0599";"0,0312"
"0,8600";"0,0687";"0,1211";"2,9698";"0,0687";"0,0614";"0,0319"
"0,8800";"0,0704";"0,1239";"3,0376";"0,0704";"0,0629";"0,0326"
"0,9000";"0,0720";"0,1267";"3,1063";"0,0720";"0,0643";"0,0332"
"0,9200";"0,0736";"0,1297";"3,1790";"0,0736";"0,0658";"0,0339"
"0,9400";"0,0753";"0,1323";"3,2450";"0,0753";"0,0673";"0,0346"
"0,9600";"0,0769";"0,1350";"3,3100";"0,0769";"0,0688";"0,0353"
"0,9800";"0,0786";"0,1380";"3,3828";"0,0786";"0,0703";"0,0360"
"1,0000";"0,0803";"0,1409";"3,4551";"0,0803";"0,0718";"0,0367"
"1,0200";"0,0819";"0,1435";"3,5186";"0,0819";"0,0733";"0,0373"
"1,0400";"0,0837";"0,1464";"3,5890";"0,0837";"0,0748";"0,0381"
"1,0600";"0,0854";"0,1493";"3,6612";"0,0854";"0,0763";"0,0388"
"1,0800";"0,0870";"0,1521";"3,7285";"0,0870";"0,0778";"0,0395"
"1,1000";"0,0887";"0,1548";"3,7965";"0,0887";"0,0793";"0,0402"
"1,1200";"0,0903";"0,1576";"3,8649";"0,0903";"0,0807";"0,0409"
"1,1400";"0,0920";"0,1606";"3,9365";"0,0920";"0,0822";"0,0415"
"1,1600";"0,0937";"0,1634";"4,0076";"0,0937";"0,0837";"0,0422"
"1,1800";"0,0954";"0,1662";"4,0745";"0,0954";"0,0853";"0,0430"
"1,2000";"0,0971";"0,1691";"4,1471";"0,0971";"0,0867";"0,0437"
"1,2200";"0,0988";"0,1720";"4,2183";"0,0988";"0,0882";"0,0444"
"1,2400";"0,1004";"0,1747";"4,2831";"0,1004";"0,0897";"0,0451"
"1,2600";"0,1020";"0,1773";"4,3479";"0,1020";"0,0911";"0,0457"
"1,2800";"0,1038";"0,1803";"4,4196";"0,1038";"0,0927";"0,0464"
"1,3000";"0,1054";"0,1831";"4,4902";"0,1054";"0,0942";"0,0471"
"1,3200";"0,1071";"0,1857";"4,5543";"0,1071";"0,0956";"0,0478"
"1,3400";"0,1088";"0,1885";"4,6219";"0,1088";"0,0971";"0,0485"
"1,3600";"0,1104";"0,1913";"4,6899";"0,1104";"0,0986";"0,0492"
"1,3800";"0,1121";"0,1942";"4,7613";"0,1121";"0,1001";"0,0500"
"1,4000";"0,1139";"0,1970";"4,8310";"0,1139";"0,1017";"0,0507"
"1,4200";"0,1155";"0,1998";"4,8976";"0,1155";"0,1031";"0,0514"
"1,4400";"0,1171";"0,2025";"4,9645";"0,1171";"0,1045";"0,0521"
"1,4600";"0,1188";"0,2051";"5,0295";"0,1188";"0,1060";"0,0528"
"1,4800";"0,1204";"0,2077";"5,0922";"0,1204";"0,1074";"0,0534"
"1,5000";"0,1220";"0,2104";"5,1576";"0,1220";"0,1089";"0,0541"
"1,5200";"0,1238";"0,2130";"5,2230";"0,1238";"0,1104";"0,0548"
"1,5400";"0,1254";"0,2159";"5,2947";"0,1254";"0,1118";"0,0555"
"1,5600";"0,1270";"0,2187";"5,3626";"0,1270";"0,1133";"0,0562"
"1,5800";"0,1287";"0,2215";"5,4320";"0,1287";"0,1148";"0,0569"
"1,6000";"0,1303";"0,2241";"5,4947";"0,1303";"0,1162";"0,0575"
"1,6200";"0,1319";"0,2269";"5,5621";"0,1319";"0,1177";"0,0582"
"1,6400";"0,1336";"0,2296";"5,6290";"0,1336";"0,1192";"0,0589"
"1,6600";"0,1353";"0,2322";"5,6933";"0,1353";"0,1206";"0,0596"
"1,6800";"0,1370";"0,2351";"5,7649";"0,1370";"0,1221";"0,0603"
"1,7000";"0,1387";"0,2380";"5,8359";"0,1387";"0,1236";"0,0611"
"1,7200";"0,1403";"0,2408";"5,9046";"0,1403";"0,1251";"0,0617"
"1,7400";"0,1421";"0,2434";"5,9676";"0,1421";"0,1266";"0,0625"
"1,7600";"0,1438";"0,2460";"6,0315";"0,1438";"0,1282";"0,0632"
"1,7800";"0,1454";"0,2487";"6,0984";"0,1454";"0,1296";"0,0638"
"1,8000";"0,1470";"0,2515";"6,1664";"0,1470";"0,1310";"0,0645"
"1,8200";"0,1487";"0,2542";"6,2329";"0,1487";"0,1325";"0,0652"
"1,8400";"0,1503";"0,2568";"6,2968";"0,1503";"0,1339";"0,0659"
"1,8600";"0,1520";"0,2597";"6,3675";"0,1520";"0,1355";"0,0666"
"1,8800";"0,1537";"0,2624";"6,4348";"0,1537";"0,1370";"0,0674"
"1,9000";"0,1554";"0,2651";"6,4994";"0,1554";"0,1384";"0,0681"
"1,9200";"0,1571";"0,2679";"6,5679";"0,1571";"0,1400";"0,0688"
"1,9400";"0,1587";"0,2707";"6,6362";"0,1587";"0,1414";"0,0695"
"1,9600";"0,1604";"0,2732";"6,6990";"0,1604";"0,1429";"0,0702"
"1,9800";"0,1621";"0,2761";"6,7692";"0,1621";"0,1445";"0,0709"
"2,0000";"0,1638";"0,2790";"6,8396";"0,1638";"0,1459";"0,0716"
"2,0200";"0,1654";"0,2816";"6,9048";"0,1654";"0,1474";"0,0723"
"2,0400";"0,1671";"0,2842";"6,9690";"0,1671";"0,1489";"0,0730"
"2,0600";"0,1688";"0,2869";"7,0341";"0,1688";"0,1504";"0,0737"
"2,0800";"0,1705";"0,2897";"7,1020";"0,1705";"0,1519";"0,0744"
"2,1000";"0,1722";"0,2925";"7,1715";"0,1722";"0,1534";"0,0752"
"2,1200";"0,1738";"0,2950";"7,2323";"0,1738";"0,1548";"0,0759"
"2,1400";"0,1755";"0,2975";"7,2940";"0,1754";"0,1563";"0,0765"
"2,1600";"0,1771";"0,3002";"7,3616";"0,1771";"0,1577";"0,0772"
"2,1800";"0,1787";"0,3029";"7,4279";"0,1787";"0,1591";"0,0779"
"2,2000";"0,1803";"0,3056";"7,4935";"0,1803";"0,1606";"0,0786"
"2,2200";"0,1820";"0,3083";"7,5602";"0,1820";"0,1621";"0,0793"
"2,2400";"0,1837";"0,3109";"7,6236";"0,1837";"0,1636";"0,0800"
"2,2600";"0,1854";"0,3136";"7,6893";"0,1854";"0,1651";"0,0807"
"2,2800";"0,1870";"0,3162";"7,7525";"0,1870";"0,1665";"0,0814"
"2,3000";"0,1886";"0,3186";"7,8116";"0,1886";"0,1679";"0,0821"
"2,3200";"0,1903";"0,3214";"7,8813";"0,1903";"0,1694";"0,0828"
"2,3400";"0,1920";"0,3241";"7,9475";"0,1920";"0,1709";"0,0836"
"2,3600";"0,1936";"0,3268";"8,0126";"0,1936";"0,1724";"0,0843"
"2,3800";"0,1953";"0,3295";"8,0780";"0,1953";"0,1739";"0,0850"
"2,4000";"0,1970";"0,3320";"8,1390";"0,1970";"0,1754";"0,0857"
"2,4200";"0,1986";"0,3346";"8,2051";"0,1986";"0,1768";"0,0864"
"2,4400";"0,2004";"0,3376";"8,2766";"0,2004";"0,1784";"0,0871"
"2,4600";"0,2021";"0,3402";"8,3411";"0,2021";"0,1799";"0,0878"
"2,4800";"0,2037";"0,3428";"8,4046";"0,2037";"0,1813";"0,0885"
"2,5000";"0,2053";"0,3453";"8,4660";"0,2053";"0,1828";"0,0892"
"2,5200";"0,2070";"0,3479";"8,5310";"0,2070";"0,1842";"0,0899"
"2,5400";"0,2086";"0,3508";"8,6011";"0,2086";"0,1857";"0,0906"
"2,5600";"0,2104";"0,3537";"8,6713";"0,2104";"0,1873";"0,0914"
"2,5800";"0,2121";"0,3562";"8,7327";"0,2121";"0,1888";"0,0921"
"2,6000";"0,2137";"0,3588";"8,7983";"0,2137";"0,1902";"0,0928"
"2,6200";"0,2154";"0,3618";"8,8699";"0,2154";"0,1917";"0,0935"
"2,6400";"0,2171";"0,3643";"8,9328";"0,2171";"0,1932";"0,0942"
"2,6600";"0,2187";"0,3668";"8,9925";"0,2187";"0,1947";"0,0949"
"2,6800";"0,2205";"0,3694";"9,0573";"0,2205";"0,1962";"0,0957"
"2,7000";"0,2221";"0,3720";"9,1207";"0,2221";"0,1977";"0,0964"
"2,7200";"0,2237";"0,3747";"9,1874";"0,2237";"0,1991";"0,0971"
"2,7400";"0,2254";"0,3773";"9,2500";"0,2254";"0,2006";"0,0978"
"2,7600";"0,2271";"0,3799";"9,3157";"0,2271";"0,2021";"0,0985"
"2,7800";"0,2288";"0,3827";"9,3835";"0,2288";"0,2036";"0,0992"
"2,8000";"0,2305";"0,3855";"9,4515";"0,2305";"0,2051";"0,1000"
"2,8200";"0,2321";"0,3879";"9,5109";"0,2321";"0,2066";"0,1007"
"2,8400";"0,2338";"0,3903";"9,5707";"0,2338";"0,2080";"0,1014"
"2,8600";"0,2354";"0,3929";"9,6338";"0,2354";"0,2095";"0,1021"
"2,8800";"0,2370";"0,3955";"9,6963";"0,2370";"0,2109";"0,1027"
"2,9000";"0,2387";"0,3980";"9,7586";"0,2387";"0,2124";"0,1035"
"2,9200";"0,2404";"0,4006";"9,8226";"0,2404";"0,2139";"0,1042"
"2,9400";"0,2420";"0,4033";"9,8884";"0,2420";"0,2153";"0,1049"
"2,9600";"0,2437";"0,4061";"9,9572";"0,2437";"0,2168";"0,1056"
"2,9800";"0,2453";"0,4086";"10,0177";"0,2453";"0,2183";"0,1063"
"3,0000";"0,2469";"0,4109";"10,0758";"0,2469";"0,2197";"0,1070"
"3,0200";"0,2486";"0,4136";"10,1399";"0,2486";"0,2212";"0,1078"
"3,0400";"0,2503";"0,4162";"10,2038";"0,2503";"0,2227";"0,1085"
"3,0600";"0,2519";"0,4188";"10,2692";"0,2519";"0,2241";"0,1093"
"3,0800";"0,2536";"0,4215";"10,3337";"0,2536";"0,2257";"0,1100"
"3,1000";"0,2553";"0,4239";"10,3930";"0,2553";"0,2271";"0,1107"
"3,1200";"0,2570";"0,4263";"10,4530";"0,2569";"0,2286";"0,1114"
"3,1400";"0,2587";"0,4291";"10,5218";"0,2587";"0,2302";"0,1122"
"3,1600";"0,2604";"0,4320";"10,5920";"0,2604";"0,2317";"0,1129"
"3,1800";"0,2620";"0,4345";"10,6545";"0,2620";"0,2331";"0,1136"
"3,2000";"0,2637";"0,4371";"10,7160";"0,2637";"0,2346";"0,1143"
"3,2200";"0,2653";"0,4397";"10,7797";"0,2653";"0,2361";"0,1150"
"3,2400";"0,2670";"0,4424";"10,8461";"0,2670";"0,2375";"0,1157"
"3,2600";"0,2688";"0,4451";"10,9130";"0,2688";"0,2391";"0,1165"
"3,2800";"0,2704";"0,4474";"10,9690";"0,2704";"0,2406";"0,1172"
"3,3000";"0,2720";"0,4498";"11,0275";"0,2720";"0,2420";"0,1179"
"3,3200";"0,2737";"0,4524";"11,0925";"0,2737";"0,2435";"0,1186"
"3,3400";"0,2754";"0,4550";"11,1565";"0,2754";"0,2450";"0,1193"
"3,3600";"0,2771";"0,4575";"11,2172";"0,2771";"0,2465";"0,1201"
"3,3800";"0,2788";"0,4601";"11,2804";"0,2788";"0,2480";"0,1208"
"3,4000";"0,2804";"0,4626";"11,3414";"0,2804";"0,2495";"0,1216"
"3,4200";"0,2821";"0,4653";"11,4085";"0,2821";"0,2510";"0,1223"
"3,4400";"0,2838";"0,4680";"11,4742";"0,2838";"0,2525";"0,1230"
"3,4600";"0,2854";"0,4704";"11,5342";"0,2854";"0,2539";"0,1237"
"3,4800";"0,2872";"0,4728";"11,5937";"0,2872";"0,2555";"0,1245"
"3,5000";"0,2889";"0,4756";"11,6621";"0,2889";"0,2570";"0,1252"
"3,5200";"0,2905";"0,4781";"11,7232";"0,2905";"0,2584";"0,1259"
"3,5400";"0,2922";"0,4804";"11,7798";"0,2922";"0,2599";"0,1267"
"3,5600";"0,2938";"0,4829";"11,8402";"0,2938";"0,2613";"0,1274"
"3,5800";"0,2953";"0,4854";"11,9024";"0,2953";"0,2627";"0,1280"
"3,6000";"0,2970";"0,4880";"11,9642";"0,2970";"0,2642";"0,1288"
"3,6200";"0,2987";"0,4905";"12,0252";"0,2987";"0,2657";"0,1295"
"3,6400";"0,3003";"0,4928";"12,0838";"0,3003";"0,2671";"0,1302"
"3,6600";"0,3020";"0,4956";"12,1519";"0,3020";"0,2686";"0,1310"
"3,6800";"0,3036";"0,4979";"12,2067";"0,3036";"0,2701";"0,1317"
"3,7000";"0,3052";"0,5001";"12,2607";"0,3052";"0,2715";"0,1324"
"3,7200";"0,3070";"0,5025";"12,3204";"0,3070";"0,2730";"0,1331"
"3,7400";"0,3086";"0,5052";"12,3870";"0,3086";"0,2745";"0,1339"
"3,7600";"0,3103";"0,5078";"12,4497";"0,3103";"0,2760";"0,1346"
"3,7800";"0,3120";"0,5103";"12,5120";"0,3120";"0,2775";"0,1353"
"3,8000";"0,3136";"0,5127";"12,5698";"0,3136";"0,2790";"0,1361"
"3,8200";"0,3153";"0,5155";"12,6386";"0,3153";"0,2805";"0,1368"
"3,8400";"0,3171";"0,5180";"12,7006";"0,3171";"0,2820";"0,1376"
"3,8600";"0,3187";"0,5202";"12,7557";"0,3187";"0,2835";"0,1383"
"3,8800";"0,3203";"0,5227";"12,8149";"0,3203";"0,2849";"0,1390"
"3,9000";"0,3220";"0,5252";"12,8769";"0,3220";"0,2864";"0,1397"
"3,9200";"0,3236";"0,5277";"12,9378";"0,3236";"0,2878";"0,1404"
"3,9400";"0,3253";"0,5302";"12,9994";"0,3253";"0,2893";"0,1412"
"3,9600";"0,3271";"0,5327";"13,0602";"0,3271";"0,2909";"0,1420"
"3,9800";"0,3287";"0,5353";"13,1243";"0,3287";"0,2923";"0,1427"
"4,0000";"0,3304";"0,5377";"13,1842";"0,3304";"0,2938";"0,1434"
"4,0200";"0,3321";"0,5401";"13,2423";"0,3321";"0,2953";"0,1441"
"4,0400";"0,3337";"0,5425";"13,3007";"0,3337";"0,2967";"0,1449"
