Tempo;Deslocamento;Força;Tensão à tração;Deformação à tração (Deslocamento)
(s);(mm);(kN);(MPa);(%)
"0,0";"0,0";"0,8";"18,2";"0,0"
"0,0";"0,0";"0,8";"18,2";"0,0"
"0,0";"0,0";"0,8";"18,2";"0,0"
"0,1";"0,0";"0,8";"18,2";"0,0"
"0,1";"0,0";"0,8";"18,3";"0,0"
"0,1";"0,0";"0,8";"18,4";"0,0"
"0,1";"0,0";"0,8";"18,6";"0,0"
"0,1";"0,0";"0,8";"18,7";"0,0"
"0,2";"0,0";"0,8";"18,9";"0,0"
"0,2";"0,0";"0,8";"19,1";"0,0"
"0,2";"0,0";"0,8";"19,3";"0,0"
"0,2";"0,0";"0,8";"19,5";"0,0"
"0,2";"0,0";"0,9";"19,7";"0,0"
"0,3";"0,0";"0,9";"19,9";"0,0"
"0,3";"0,0";"0,9";"20,0";"0,0"
"0,3";"0,0";"0,9";"20,2";"0,0"
"0,3";"0,0";"0,9";"20,4";"0,0"
"0,3";"0,0";"0,9";"20,5";"0,0"
"0,4";"0,0";"0,9";"20,7";"0,0"
"0,4";"0,0";"0,9";"20,8";"0,0"
"0,4";"0,0";"0,9";"21,0";"0,0"
"0,4";"0,0";"0,9";"21,2";"0,0"
"0,4";"0,0";"0,9";"21,3";"0,0"
"0,5";"0,0";"0,9";"21,5";"0,0"
"0,5";"0,0";"0,9";"21,7";"0,0"
"0,5";"0,0";"0,9";"21,9";"0,0"
"0,5";"0,0";"1,0";"22,1";"0,0"
"0,5";"0,0";"1,0";"22,3";"0,0"
"0,6";"0,0";"1,0";"22,4";"0,0"
"0,6";"0,0";"1,0";"22,6";"0,0"
"0,6";"0,0";"1,0";"22,8";"0,0"
"0,6";"0,0";"1,0";"22,9";"0,0"
"0,6";"0,0";"1,0";"23,1";"0,0"
"0,7";"0,0";"1,0";"23,2";"0,0"
"0,7";"0,0";"1,0";"23,4";"0,0"
"0,7";"0,0";"1,0";"23,6";"0,0"
"0,7";"0,0";"1,0";"23,7";"0,0"
"0,7";"0,0";"1,0";"23,9";"0,0"
"0,8";"0,0";"1,0";"24,1";"0,0"
"0,8";"0,0";"1,1";"24,3";"0,0"
"0,8";"0,0";"1,1";"24,5";"0,0"
"0,8";"0,0";"1,1";"24,7";"0,0"
"0,8";"0,0";"1,1";"24,8";"0,0"
"0,9";"0,0";"1,1";"25,0";"0,0"
"0,9";"0,0";"1,1";"25,2";"0,0"
