Tempo;Deslocamento;Força;Tensão à tração;Deformação à tração (Deslocamento);Extens Bi Axial - Connector 6;Extens Bi Trans - Conector 5
(s);(mm);(kN);(MPa);(%);(%);(%)
"0,0000";"0,0000";"-0,0069";"-0,1689";"0,0000";"0,0010";"0,0244"
"0,0200";"0,0000";"-0,0069";"-0,1699";"0,0000";"0,0010";"0,0247"
"0,0400";"0,0003";"-0,0065";"-0,1582";"0,0003";"0,0011";"0,0250"
"0,0600";"0,0013";"-0,0054";"-0,1327";"0,0013";"0,0016";"0,0256"
"0,0800";"0,0030";"-0,0029";"-0,0715";"0,0030";"0,0028";"0,0265"
"0,1000";"0,0047";"0,0001";"0,0018";"0,0047";"0,0043";"0,0275"
"0,1200";"0,0065";"0,0032";"0,0789";"0,0065";"0,0059";"0,0285"
"0,1400";"0,0082";"0,0062";"0,1522";"0,0082";"0,0075";"0,0295"
"0,1600";"0,0098";"0,0091";"0,2219";"0,0098";"0,0089";"0,0305"
"0,1800";"0,0114";"0,0120";"0,2947";"0,0114";"0,0104";"0,0316"
"0,2000";"0,0131";"0,0150";"0,3678";"0,0131";"0,0118";"0,0327"
"0,2200";"0,0147";"0,0180";"0,4410";"0,0147";"0,0133";"0,0337"
"0,2400";"0,0164";"0,0209";"0,5111";"0,0164";"0,0148";"0,0348"
"0,2600";"0,0181";"0,0240";"0,5884";"0,0181";"0,0163";"0,0359"
"0,2800";"0,0197";"0,0269";"0,6593";"0,0197";"0,0177";"0,0368"
"0,3000";"0,0213";"0,0295";"0,7218";"0,0213";"0,0192";"0,0377"
"0,3200";"0,0229";"0,0323";"0,7902";"0,0229";"0,0206";"0,0387"
"0,3400";"0,0246";"0,0354";"0,8657";"0,0246";"0,0221";"0,0397"
"0,3600";"0,0264";"0,0385";"0,9420";"0,0264";"0,0237";"0,0408"
"0,3800";"0,0280";"0,0413";"1,0097";"0,0280";"0,0251";"0,0418"
"0,4000";"0,0296";"0,0440";"1,0766";"0,0296";"0,0266";"0,0426"
"0,4200";"0,0313";"0,0470";"1,1494";"0,0313";"0,0281";"0,0436"
"0,4400";"0,0330";"0,0497";"1,2166";"0,0330";"0,0295";"0,0446"
"0,4600";"0,0347";"0,0525";"1,2837";"0,0347";"0,0310";"0,0455"
"0,4800";"0,0364";"0,0556";"1,3600";"0,0364";"0,0326";"0,0465"
"0,5000";"0,0380";"0,0584";"1,4286";"0,0380";"0,0340";"0,0475"
"0,5200";"0,0396";"0,0612";"1,4967";"0,0396";"0,0354";"0,0484"
"0,5400";"0,0413";"0,0640";"1,5660";"0,0413";"0,0369";"0,0493"
"0,5600";"0,0430";"0,0669";"1,6372";"0,0430";"0,0384";"0,0503"
"0,5800";"0,0447";"0,0700";"1,7124";"0,0447";"0,0399";"0,0513"
"0,6000";"0,0464";"0,0730";"1,7856";"0,0464";"0,0414";"0,0523"
