Time,Deslocamento,Força,Tensão à tração,Deformação à tração (Deslocamento),Strain Gauge 1/Axial Strain Ɛyy,Strain Gauge 1/Transverse Strain Ɛxx,Strain Gauge 1/Shear Strain Ɛxy,Strain Gauge 1/Minimum Normal Strain,Strain Gauge 1/Maximum Normal Strain,Strain Gauge 1/Poisson's Ratio -Ɛxx/Ɛyy,Strain Gauge 1/Axial Displacement dy,Strain Gauge 1/Transverse Displacement dx
ms,mm,kN,MPa,%,%,%,%,%,%,,mm,mm
0.00000,0.00000,0.00087,0.02326,0.00000,-0.00005,0.00027,0.00019,-0.00014,0.00035,0.00000,-0.00040,-0.00033
20.00000,0.00002,0.00102,0.02706,0.00001,-0.00009,0.00103,0.00071,-0.00049,0.00143,0.00000,-0.00168,-0.00153
40.00000,0.00020,0.00124,0.03288,0.00012,0.00080,0.00033,0.00003,0.00023,0.00090,0.00000,-0.00169,-0.00250
60.00000,0.00072,0.00228,0.06062,0.00041,0.00185,0.00107,0.00006,0.00105,0.00188,0.00000,-0.00155,-0.00271
80.00000,0.00140,0.00383,0.10199,0.00080,0.00292,0.00192,0.00014,0.00187,0.00297,0.00000,-0.00140,-0.00286
100.00000,0.00210,0.00568,0.15107,0.00120,0.00399,0.00277,0.00021,0.00270,0.00406,0.00000,-0.00124,-0.00301
120.00000,0.00274,0.00739,0.19660,0.00156,0.00506,0.00362,0.00029,0.00353,0.00515,0.00000,-0.00109,-0.00317
140.00000,0.00337,0.00911,0.24254,0.00193,0.00612,0.00447,0.00037,0.00435,0.00624,0.00000,-0.00094,-0.00332
160.00000,0.00403,0.01108,0.29476,0.00230,0.00719,0.00532,0.00045,0.00518,0.00733,0.00000,-0.00078,-0.00347
180.00000,0.00472,0.01304,0.34694,0.00270,0.00826,0.00617,0.00053,0.00601,0.00842,0.00000,-0.00063,-0.00362
200.00000,0.00545,0.01478,0.39338,0.00311,0.00933,0.00702,0.00061,0.00684,0.00951,0.00000,-0.00048,-0.00377
220.00000,0.00615,0.01676,0.44605,0.00351,0.01040,0.00787,0.00069,0.00766,0.01060,0.00000,-0.00033,-0.00392
240.00000,0.00680,0.01845,0.49102,0.00389,0.01146,0.00872,0.00077,0.00849,0.01169,0.00000,-0.00017,-0.00407
260.00000,0.00741,0.01999,0.53198,0.00423,0.01253,0.00957,0.00085,0.00932,0.01279,0.00000,-0.00002,-0.00422
280.00000,0.00801,0.02160,0.57479,0.00458,0.01360,0.01042,0.00093,0.01014,0.01388,0.00000,0.00013,-0.00438
300.00000,0.00863,0.02317,0.61664,0.00493,0.01467,0.01127,0.00101,0.01097,0.01497,0.00000,0.00029,-0.00453
320.00000,0.00931,0.02495,0.66402,0.00532,0.01573,0.01212,0.00109,0.01180,0.01606,0.00000,0.00044,-0.00468
340.00000,0.01003,0.02675,0.71202,0.00573,0.01680,0.01297,0.00117,0.01262,0.01715,0.00000,0.00059,-0.00483
360.00000,0.01074,0.02888,0.76850,0.00613,0.01787,0.01382,0.00125,0.01345,0.01824,0.00000,0.00075,-0.00498
380.00000,0.01141,0.03086,0.82134,0.00652,0.01894,0.01467,0.00133,0.01428,0.01933,0.00000,0.00090,-0.00513
400.00000,0.01203,0.03246,0.86393,0.00688,0.02000,0.01552,0.00141,0.01510,0.02042,0.00000,0.00105,-0.00528
420.00000,0.01264,0.03396,0.90391,0.00722,0.02107,0.01637,0.00148,0.01593,0.02151,0.00000,0.00121,-0.00543
440.00000,0.01327,0.03568,0.94952,0.00758,0.02214,0.01722,0.00156,0.01676,0.02260,0.00000,0.00136,-0.00559
460.00000,0.01393,0.03741,0.99549,0.00796,0.02321,0.01807,0.00164,0.01758,0.02369,0.00000,0.00151,-0.00574
480.00000,0.01465,0.03937,1.04778,0.00837,0.02428,0.01892,0.00172,0.01841,0.02479,0.00000,0.00167,-0.00589
500.00000,0.01537,0.04146,1.10338,0.00878,0.02534,0.01977,0.00180,0.01924,0.02588,0.00000,0.00182,-0.00604
520.00000,0.01606,0.04339,1.15475,0.00918,0.02632,0.02022,0.00174,0.01971,0.02684,0.00000,0.00208,-0.00597
540.00000,0.01669,0.04521,1.20321,0.00954,0.02722,0.02033,0.00155,0.01986,0.02769,0.00000,0.00243,-0.00570
560.00000,0.01730,0.04687,1.24746,0.00988,0.02813,0.02043,0.00137,0.02002,0.02854,0.00000,0.00278,-0.00544
580.00000,0.01792,0.04846,1.28974,0.01024,0.02903,0.02054,0.00118,0.02017,0.02939,0.00000,0.00314,-0.00518
600.00000,0.01859,0.05027,1.33780,0.01062,0.02993,0.02064,0.00099,0.02032,0.03024,0.00000,0.00349,-0.00491
620.00000,0.01931,0.05224,1.39042,0.01103,0.03083,0.02074,0.00081,0.02048,0.03110,0.00000,0.00384,-0.00465
640.00000,0.02005,0.05406,1.43861,0.01145,0.03173,0.02085,0.00062,0.02063,0.03195,0.00000,0.00420,-0.00438
660.00000,0.02075,0.05599,1.49010,0.01186,0.03263,0.02095,0.00043,0.02079,0.03280,0.00000,0.00455,-0.00412
